URL,Title,Address,Description,Compensation,Employment Type
https://newyork.craigslist.org/mnh/egr/d/new-york-city-interior-designer/6785128152.html,"Interior Designer Available for Architects, Designers and Developers",,"
        
Architect and Interior Designer Collaboration
*
Freelance Interior Designer with over two decades of professional experience available to work in your office or off-site, assisting designers, architects and developers with shopping, sourcing and other design needs, based on project protocol. The following list of services and disciplines can add significant value to your firm.
My process is respectful and honors the architectural culture, language and process, with a commitment to design excellence.
*
Offering:
•	Fabric, furniture and finishes program with specifications, procurement and scheduling
•	Knowledge and access from established relationships within the interiors industry
•	Sourcing and vetting materials, artisans and bespoke detailing
•	Design and augmentation of color palettes
•	Visual research and precedent development 
•	Communication of FFE-related information to architecture team for integration into drawing 
•	Actively attends design fairs domestic and international design fairs

Feel free to reach out to discuss a possible collaboration or assistance on small or large scale projects.
    ",TBD,contract
https://newyork.craigslist.org/mnh/egr/d/new-york-city-junior-architect/6785053382.html,Junior Architect,Chelsea,"
        
Award winning New York City firm specializing in high-end homes seeks project team member with professional architecture degree and 3 to 5 years experience. Interested individuals should have strong interest in traditional residential architecture, possess excellent verbal and written communication skills and be highly organized. Knowledge of traditional details is required. We offer a competitive salary and excellent benefits with growth opportunities in a comfortable and friendly environment.    ",Competitive salary + benefits,full-time
https://newyork.craigslist.org/que/egr/d/flushing-architectural-designer/6781056136.html,Architectural Designer,,"
        
Architecture Design Firm in Queens is looking to fill an Architectural Designer position. Candidate must have 1-3 years of design experience.

The primary duties will be to provide project participation in all phases of design including Concept Design, Design Development, Construction Documents and Construction Administration. The candidate will be expected to understand and develop aspects of working drawings and details. The following is required of the candidate:

Qualifications include:
-- Degree in Architecture.
-- Excellent design and graphic skills, and proficiency in AutoCAD, SketchUp and other 3D rendering and graphic programs are preferable.
-- Familiarity with NYC zoning
-- Working knowledge of expediting/ filing procedures with DOB are a plus.
-- Excellent verbal and written communication skills
-- Excellent organizational and time management skills
    ",The salary is based on level of experience.,full-time
https://newyork.craigslist.org/mnh/egr/d/plumbing-fire-protection-engineers-and/6784989247.html,Plumbing -Fire Protection Engineers and Designers-REVIT,Midtown West,"
        
For over 50 years Ettinger Engineering Associates, a premier MEP/FP consulting engineering firm located in midtown Manhattan has been partnering with select developers, architects, institutions and municipal agencies to provide exceptional building design and application services. 

Currently we offer excellent career opportunities to Plumbing and Fire Protection engineers and designers with proficiency in REVIT modeling and Autocad for the design of new and hi-mid and low-rise residential buildings, hotels, schools and more.

General Responsibilities Under Supervision of Senior Engineer/Project Managers include:
Design and layout of systems with minimal direction
Building inspections of existing services and trades (when appropriate) 
-Good sense of coordination and follow through.
-Possess sufficient knowledge of drawings consistent with instruction, guidelines, standards 
-Learn/be familiar with building codes
-Learn/be familiar with equipment and able to make basic selections 
-Ability to perform engineering calculations 

General Qualifications include:
A BS in Engineering, 2-3 years experience,  REVIT and Autocad proficiency required. Willing to be team player, seek knowledge from others, remain enthusiastic about work and being productive. Available to work overtime and meet project deadlines.

Compensation and Benefits:
We offer a competitive salary based on the candidate's experience and credentials
Medical, vision and dental insurance offered with substantial contributions by the firm
Disability insurance for the employee paid for by the Firm
401k plan with firm matching schedule.
PTO schedule increases with years of service
Paid holidays

EEA Culture
EEA is a mid-size firm with enough capability, experience and resource to take on the largest of development projects. At the same time, our company is organized in smaller studios which provide for numerous client and employee benefits. As an example of an outward benefit, our studio model ensures that repeat clients interact with consistent managerial and engineering staff that is familiar with client operational models, expectations, norms, etc. Inwardly, studios and the smaller project teams within them, allow our employees to form tight-knit and collegial professional relationships, allow for seamless work sharing and more.

Beyond a culture which rewards excellence, ""sets the bar high"", and strives to consistently and relentlessly exceed expectations, our internal culture is centered around five additional tenets:

Staff Appreciation - People Are Our Most Valuable Asset
Professional Development - Your Growth is Shared Growth
Flexibility
Environmental Consciousness
Diversity

Read more about us at: 

Send resume with minimum salary requirements.
Label resume file with your full name. 

Candidates must be authorized to work in USA

Equal Opportunity Employer

NO PHONE CALLS
    ",Commensurate with experience,full-time
https://newyork.craigslist.org/lgi/egr/d/civil-engineer-project-manager-nyc-and/6781205912.html,Civil Engineer/Project Manager (NYC and Long Island),NYC and LI,"
        
Project Engineer/Project Manager wanted for Heavy Civil construction company

We are seeking an experienced Project Engineer/Project Manager in the heavy civil field to join our team with an active work load. 
5 years experience is a minimum must. 
Currently working with all public agencies. (NYSDOT, NYCDOT, NYC DDC, Port Authority, MTA-LIRR, SCA....)
Looking for an employee that wants to grow with the company. 

WHAT WE WILL DO FOR YOU:
• Medical
• Flexible Spending Accounts
• Paid Holidays, Vacation
• 401K with company match
Salary based on experience and discussion


Responsibilities:
Manage over site of Civil Heavy/Highway Infrastructure projects
Assist with current projects
Estimate on new jobs as needed
Direct and lead the communications between owner and contractor
Ensure deadlines and cost targets are met
Maintain required project documentation
Serve as a liaison between company and GC or owner


​Qualifications:

Previous experience in heavy construction and other related fields. Will request references.
Strong project management skills
Strong analysis and critical thinking skills
Fluent with Office, Excel, Word, etc...
    ",Based on experience and open for discussion,full-time
https://newyork.craigslist.org/lgi/egr/d/valley-stream-engineer-estimator/6784971993.html,Engineer/ Estimator/,Valley Stream,"
        
A Small growing Construction Firm.
Seeking Administrative assistant with knowledge of Architectural drawings , cost Estimation, assist in project estimating, submittals , and Field , understanding of excel, knowledge of estimation , drafting a plus. 
 Basic knowledge in this field is a plus.
We are looking some with Experience, or at least with skill to Estimate the projects.  
Also availability of sponsorship    ",based on experiance,full-time
https://newyork.craigslist.org/mnh/egr/d/mid-level-electrical-engineers-2-years/6784983507.html,Mid Level Electrical Engineers (2+ Years-with REVIT),Midtown West,"
        
For 50 years Ettinger Engineering Associates, a premier MEP/FP consulting engineering firm located in midtown Manhattan has been partnering with select developers, architects, institutions and municipal agencies to provide exceptional building design and application services for a variety of sectors for projects of  varying size and complexities.

Currently we have openings for experienced mid-level electrical engineers who are experienced in systems design, creating plans, schematics, equipment selection, load calculations, response to shop drawings/submittals/RFIs, systems narratives and specifications etc

These positions will provide an opportunity to work as a part of a multi-disciplined project team and interface with and take direction from high-level company management on a wide variety of tasks.
Applicant must be able to manage multiple competing priorities successfully with little oversight.

General Qualifications include:
A B.S. in Engineering and 2+ years experience in MEP Electrical engineering field.
Must be familiar with local building codes.
Must be experienced with both AutoCad and Revit.
Proficiency in MSOFFICE & Google Drive tools.
Must be a strong communicator and have strong writing and interpersonal skills.
Must be able to seek information when needed and be a self-starter.
Well organized and energetic.
Familiarity with design of all MEP trades and PMI and/or EIT and/or PE, and/or LEED AP and/or PMP a plus
Project Management and/or direct supervisory experience a plus
Must be willing to work overtime and meet project deadlines.

Send resume labeled with your first and last name.
Send minimum salary requirement

Compensation and Benefits:
We offer a competitive salary based on the candidate's experience and credentials
Medical, vision and dental insurance offered with substantial contributions by the firm
Disability insurance for the employee paid for by the Firm
401k plan with firm matching schedule.
PTO schedule increases with years of service
Paid holidays

EEA Culture
EEA is a mid-size firm with enough capability, experience and resource to take on the largest of development projects. At the same time, our company is organized in smaller studios which provide for numerous client and employee benefits. As an example of an outward benefit, our studio model ensures that repeat clients interact with consistent managerial and engineering staff that is familiar with client operational models, expectations, norms, etc. Inwardly, studios and the smaller project teams within them, allow our employees to form tight-knit and collegial professional relationships, allow for seamless work sharing and more.

Beyond a culture which rewards excellence, ""sets the bar high"", and strives to consistently and relentlessly exceed expectations, our internal culture is centered around five additional tenets:

Staff Appreciation - People Are Our Most Valuable Asset
Professional Development - Your Growth is Shared Growth
Flexibility
Environmental Consciousness
Diversity

Read more about us at: 

Send resume file labeled with your full name
Send minimum salary requirements

Candidates must be authorized to work in the USA

NO CALLS
Equal Opportunity Employer 


    ",Top dollar offered,full-time
https://newyork.craigslist.org/brx/egr/d/bronx-construction-estimator/6784804356.html,Construction Estimator,Bronx,"
        
Seeking Administrative assistant with knowledge of Architectural drawings , to assist in project estimating and submittals , understanding of excel, auto cad , drafting a plus.  
Basic knowledge  in this field is a plus. Great opportunity to learn.    ",TBD,full-time
https://newyork.craigslist.org/brk/egr/d/professional-wanted/6784620002.html,Professional wanted,NYC,"
        
Looking for design professionals within the architectural and engineering industry for the purpose of navigating drawings and plans from concept to realization for review and filing with municipal agencies    ",Per Project Basis.,contract
https://newyork.craigslist.org/mnh/egr/d/new-york-city-senior-mep-design/6784974935.html,Senior MEP Design Engineers - Mech/Elec/Plumb-FP,Midtown West,"
        
Ettinger Engineering Associates has openings for experienced Senior level Mechanical, Electrical, and Plumbing/Fire Protection engineers who are experienced in systems design, creating plans, schematics, equipment selection & calculations, response to shop drawings/submittals/RFIs, systems narratives and specifications.

General Qualifications include:
-A B.S. in Engineering and a number of years of experience in MEP Electrical+Fire Alarm field.
-Must be familiar with local building codes & NEC.
-Must be experienced with both AutoCad and Revit.
-Proficiency in MSOFFICE & Google Drive tools.
-Must be a strong communicator and have strong writing and interpersonal skills.
-Must be able to seek information when needed and be a self-starter.
-Well organized and energetic.

Compensation and Benefits:
We offer a competitive salary based on the candidate's experience and credentials
Medical, vision and dental insurance offered with substantial contributions by the firm
Disability insurance for the employee paid for by the Firm
401k plan with firm matching schedule.
PTO schedule increases with years of service
Paid holidays

Send resume labeled with your first and last name.
Send minimum salary requirement
Must be authorized to work in United States
NO CALLS.

EEA Culture
EEA is a mid-size firm with enough capability, experience and resource to take on the largest of development projects. At the same time, our company is organized in smaller studios which provide for numerous client and employee benefits. As an example of an outward benefit, our studio model ensures that repeat clients interact with consistent managerial and engineering staff that is familiar with client operational models, expectations, norms, etc. Inwardly, studios and the smaller project teams within them, allow our employees to form tight-knit and collegial professional relationships, allow for seamless work sharing and more.

Beyond a culture which rewards excellence, ""sets the bar high"", and strives to consistently and relentlessly exceed expectations, our internal culture is centered around five additional tenets:

Staff Appreciation - People Are Our Most Valuable Asset
Professional Development - Your Growth is Shared Growth
Flexibility
Environmental Consciousness
Diversity

Read more about us at: 

Equal Opportunity Employer

Job Type: Full-time
    ",Top Dollar-Commensurate with experience,full-time
