URL,Title,Address,Description,Compensation,Employment Type
https://denver.craigslist.org/egr/d/denver-survey-crew-chief-instrument/6785267383.html,Survey Crew Chief/Instrument Operator,Northglenn,"
        
Infinity Solutions, a Denver based Surveying firm, has immediate openings for both a Crew Chief and Instrument Operator.  We're a fast growing, progressive firm that continues to expand, mainly focusing on rail, roadway, and large construction projects.  Our ideal candidate is looking to advance beyond their current situation and help us continue to grow.

Each position will assist with day-to-day operations (in their respective capacity), including, but not limited to: construction layout, topographic mapping, boundary surveys, and document preparation.

We offer very competitive pay rates and bonus incentives, as well as: 401(K); Life, Medical, Dental, and Vision Insurance; & Sick/PTO.  

We will consider all levels of experience, for both positions.

Preferred Qualifications (by position):

Survey Crew Chief
1) Two years progressive experience in a Crew Chief-style role
2) Experience with construction layout methodologies, and ability to read plans
3) Proficiency with Trimble GPS, Robotic Total Stations, and digital level systems
4) Exemplary communication and organization skills, with accurate attention to detail
5) Occasional necessity to operate ""solo"" as a one-person crew
6) Valid Colorado Driver License and clean Motor Vehicle Record
7) Physical ability to work in varying terrain and/or weather conditions
8) Physical ability to lift/carry 35 lbs. (+/-) across the same
9) Availability for overtime, and occasional night and/or weekend work
10) Helpful, but not required:
	i) Familiarity with Trimble SCS 900 software
	ii) Associates Degree from accredited Survey program
	iii) Career path toward LSI and/or PLS

Survey Instrument Operator
1) One year progressive experience in an Instrument Operator-style role
2) Proficiency with Trimble GPS, Robotic Total Stations, and digital level systems
3) Ability to work well with others, and assume minor leadership role as necessary
4) Superior communication and organization skills, with accurate attention to detail
5) Valid Colorado Driver License and clean Motor Vehicle Record
6) Physical ability to work in varying terrain and/or weather conditions
7) Physical ability to lift/carry 35 lbs. (+/-) across the same
8) Availability for overtime, and occasional night and/or weekend work
9) Helpful, but not required:
	i) Familiarity with Trimble SCS 900 software
	ii) Career path toward LSI and/or PLS




We are an equal opportunity employer and all qualified applicants will receive consideration for employment without regard to race, color, religion, sex, national origin, disability status, veteran status, or any other characteristic protected by law.

    ",Based on experience,full-time
https://denver.craigslist.org/egr/d/denver-kitchen-equipment-designer/6783875031.html,Kitchen Equipment Designer,Stapleton Brand Services,"
        



KITCHEN EQUIPMENT DESIGNER
‪Kitchen Equipment Designer responsibilities include working closely with our culinary, design and development teams to manage all phases of our projects from schematic design through construction and project closeout. To succeed in this role, you should have excellent time management, strong organizational, and communication skills, as you'll collaborate with external and internal teams to deliver results on deadlines.  The Kitchen Equipment Designer has the primary responsibility of assisting in the development and monitoring of project scope including planning, coordination directly with our operations team, budgeting and scheduling.  This position will also work with the design team in the development of design documents. ‬ ‬‬‬‬‬‬‬‬‬

About Us:
Punch Bowl Social innovates and leads a modern authentic approach to the ""eat-ertainment"" category by effectively combining a diner-inspired scratch-kitchen, craft beverage program, and entertainment in a highly curated design-forward environment. In addition to our passion for providing exceptional food & drink, we are committed to personalized customer service and have developed a team of extraordinary brand ambassadors to lead our tribe of professionals. 


QUALIFICATIONS
•	A Bachelor's degree in a related field from an accredited university; or equivalent work experience, or combination of work and education may be substituted.
•	Proven work experience as a Kitchen Equipment Designer or similar role, for at least 5 years.
•	Must possess the ability to read construction drawings.
•	Proficient with MS Office suite [Excel, Word and Outlook].
•	Proficient with Revit and AutoCAD software.
•	Solid organizational skills, including multitasking and time-management.
•	Strong teamwork skills.

ESSENTIAL DUTIES AND RESPONSIBILITIES
•	Create equipment layout designs for the commercial kitchens of existing and upcoming Punch Bowl Social locations.
•	Develop, monitor, and adjust project schedules.
•	Review scope of work and agreements with consulter in alignment with project objectives.
•	Meet consistency with Punch Bowl Social operations team and work with equipment supplier.
•	Collaborate with appropriate staff to meet goals and objectives of project.
•	Coordinate drawings to reflect any health department or local jurisdiction requirements.
•	Assist the design department in Construction Drawing documentation.

If you are interested in becoming part of a nationally expanding concept, with significant growth opportunities, we look forward to reviewing your resume.  Please click the link above to apply.  No placement agencies or recruiters will be considered; please do not contact the above mentioned location.









    ",Salary+Benefits,full-time
https://denver.craigslist.org/egr/d/denver-drafter-project-management/6785043765.html,Drafter/Project management,Denver,"
        
Technical Drafting Position Available

Lam-Wood Systems, Inc. supplies structural wood products to the construction and high end residential market. We supply many different structural wood products and our shop drawings differ based upon which product we are supplying. As an example, when supplying an I-joist project, our shop drawings show the placement of the materials within the project and we will also run a joist analysis utilizing proprietary manufacturers software to ensure that the joist work for the given loads and framing condition. For projects that involve custom/complex, cut-to-shape Heavy Timber/Glulam or Heavy Timber/Glulam Trusses we create a 3d model to ensure that the material fits within the project properly and to also aid in creating cutting profiles for each individual piece of wood. Each project we work on is different from previous projects, thus providing you with years of enjoyment working for a firm that keeps you both mentally stimulated and challenged. 

Description and Requirements
	The position is an entry level job opening but experience is certainly a plus and pay will be commensurate with experience. Lam-Wood Systems Inc. is looking for an individual who is experienced with Autodesk AutoCAD or Architecture 2010 or later. Drafting or designing for a structural engineering firm is a plus but not a requirement since we will teach you what you need to know on the job. Since you will be producing shop drawings of engineered wood products, a structures class is highly desired but again, not required. You should have basic knowledge of geometry (trigonometry helpful), be detail oriented, have an ability to visualize in multiple dimensions (3d), and possess excellent communication skills. Familiarity with Microsoft office software is a must. You will also need to possess the ability to handle pressure while ""under the gun"" to meet schedule deadlines.


Benefits
Full Time position, paid vacation, medical reimbursement benefit, profit sharing plan, 401K. Major U.S. holidays paid off, your birthday off, sick leave, and your own office (no cubicles).


Lam-Wood Systems, Inc. offers a great work environment. We would love the opportunity to tell you more about our company. Some of our drafters have been with us for over 20 years...a testament to what a great place this is in which to work.
Please contact us via email. Send your resume' and letter of introduction (can be in body of email).
    ",Starting @ $38K for little to no experience. Commensurate with experience.,full-time
https://denver.craigslist.org/egr/d/denver-interior-design-brand/6781881042.html,Interior Design Brand Coordinator | Punch Bowl Social,"Denver, CO","
        



INTERIOR DESIGN BRAND COORDINATOR
 We are looking for an experienced, creative designer to join the Punch Bowl Social design studio. The Designer will work alongside other designers and will report directly to the studio Design Directors. As an integral part of the design studio and broader construction team, the Designer will design and deliver thoughtful and highly creative design solutions that elevate the brand while accommodating business considerations, functional goals and our typical aggressive timelines.  This position will focus specifically on renovation, upgrades and maintenance to existing properties, also working closely with the operations team.  Travel is required.
 

About Us:
Punch Bowl Social innovates and leads a modern authentic approach to the ""eat-ertainment"" category by effectively combining a diner-inspired scratch-kitchen, craft beverage program, and entertainment in a highly curated design-forward environment. In addition to our passion for providing exceptional food & drink, we are committed to personalized customer service and have developed a team of extraordinary brand ambassadors to lead our tribe of professionals. 


ESSENTIAL DUTIES AND RESPONSIBILITIES
•	Interior design and coordination related to store renovation, maintenance and new concepts that may be identified over time.
•	Provide design solutions that are on-brand and appropriate to the market.
•	Identify, select and specify products and vendors that are suitable for the project.
•	Work closely with the internal project management team to manage lead times, budgets, installation and close-out.
•	Develop specifications and bidding documentation that clearly conveys design intent and documents product and vendor selections.
•	Assist in installation as needed and coordinate with appropriate parties to ensure a successful closeout and that design intent is executed.
•	Clearly and concisely communicate with both internal team members and consultants throughout project duration regarding design concept, design execution and follow through.
•	Provide quick problem solving when issues arise, coordinate with internal team.

QUALIFICATIONS
•	Degree in Interior Design.
•	3+ years of experience in Restaurant, Hospitality, or Retail Interior Design and/or Facilities Management.
•	Strong understanding of FF&E specifications and space planning.
•	Ability to incorporate metrics (area, pricing, schedule, etc) into design process
•	Proficient in the following programs: MS Office, Adobe Creative Suite, SKETCHUP, AutoCAD, and Revit.
•	Experience working with outside MEP and/or other design consultants.
•	Current knowledge of relevant professional building codes, health codes and compliance issues.
•	Experience with environmental graphics and signage a plus.
•	Impeccable and concise communication and presentation skills, verbal and written.
•	Experience with Contract/Construction Administration documentation. 
•	Highly resourceful problem solver and quick learner.
•	Demonstrated ability to consistently meet deadlines.
•	Strong time management skills and experience managing multiple projects simultaneously.
•	Reliable, focused, and detail-oriented with ability to thrive in a fast-moving business environment.
•	Self-directed with a high level of initiative, works well on a team and excellent at follow-through.

If you are interested in becoming part of a nationally expanding concept, with significant growth opportunities, we look forward to reviewing your resume.  Please click the link to apply.  No placement agencies or recruiters will be considered; please do not contact the above mentioned location.





    ",Salary + Benefits,full-time
https://denver.craigslist.org/egr/d/denver-graphics-and-signage-design/6785046410.html,Graphics and Signage Design Support,"Denver, CO","
        
Graphics and Signage Design Support

It is an exciting time at Monigle as we continue to grow and build strong, innovative teams. Monigle is currently seeking a dynamic individual for a Environmental Graphics and Signage Design Support position, with opportunity to grow within our organization.

The Environmental Branding team at Monigle is an agile group of designers, project managers and architects who design and implement interior and exterior signage for large national clients, along with branded environments, service-retail design, healthcare, wayfinding, sponsorship and sports venues.

The Role:

- Learn the methodology behind the 3D display of a brand in public places for maximum impact, while working within the constraints local municipalities and the client.
- Support the Environmental Branding and Program Management group through scheduling signage for Clients using our SignChart software system.
- Support will be provided through Photo Morphs/mock-ups, color elevations, data input, and providing signage recommendations for a set kit of parts.
- Projects include interior and exterior signage for large national clients.
- Multi-tasking is required often. Priorities can change very quickly and the ideal candidate should be flexible and focused at the same time.
- Work within in a collaborative, fast-paced team environment.
- Occasional travel to conduct site audits.

The Requirements:

- Experience working with CorelDraw, Illustrator and Photoshop.
- Bachelor's degree in Graphic Design, Industrial Design or Environmental Design.
- Strong organizational skills and exceptional attention to detail, as many projects are very large and encompass hundreds of locations.
- Some previous design/project management experience is preferred.
- Experience with SketchUp and/or AutoCAD a plus.
- Sign company art department skills a plus.

We offer competitive compensation based on experience, an exciting work environment and a full benefits package for full-time employees. If this sounds like a fit, please apply with a resume and portfolio via the email address tied to this listing.

Learn more about us at .    ",Negotiable hourly rate,contract
https://denver.craigslist.org/egr/d/aurora-sketch-artist-cad/6781944291.html,SKETCH ARTIST / CAD,East Side,"
        
SKETCH ARTIST / CAD NEEDED,
Looking for a sketch artist with good pencil and computer digital artistry skill to sketch a prototype design into a digital set of plans.

For more info please email desire and qualifications, we will email you back more info about the project.
This is a short term project for a mechanical product.
    ",Flat Fee,part-time
https://denver.craigslist.org/egr/d/denver-interior-design-brand/6783874857.html,Interior Design Brand Coordinator | Punch Bowl Social,"Denver, CO","
        



INTERIOR DESIGN BRAND COORDINATOR
 We are looking for an experienced, creative designer to join the Punch Bowl Social design studio. The Designer will work alongside other designers and will report directly to the studio Design Directors. As an integral part of the design studio and broader construction team, the Designer will design and deliver thoughtful and highly creative design solutions that elevate the brand while accommodating business considerations, functional goals and our typical aggressive timelines.  This position will focus specifically on renovation, upgrades and maintenance to existing properties, also working closely with the operations team.  Travel is required.
 

About Us:
Punch Bowl Social innovates and leads a modern authentic approach to the ""eat-ertainment"" category by effectively combining a diner-inspired scratch-kitchen, craft beverage program, and entertainment in a highly curated design-forward environment. In addition to our passion for providing exceptional food & drink, we are committed to personalized customer service and have developed a team of extraordinary brand ambassadors to lead our tribe of professionals. 


ESSENTIAL DUTIES AND RESPONSIBILITIES
•	Interior design and coordination related to store renovation, maintenance and new concepts that may be identified over time.
•	Provide design solutions that are on-brand and appropriate to the market.
•	Identify, select and specify products and vendors that are suitable for the project.
•	Work closely with the internal project management team to manage lead times, budgets, installation and close-out.
•	Develop specifications and bidding documentation that clearly conveys design intent and documents product and vendor selections.
•	Assist in installation as needed and coordinate with appropriate parties to ensure a successful closeout and that design intent is executed.
•	Clearly and concisely communicate with both internal team members and consultants throughout project duration regarding design concept, design execution and follow through.
•	Provide quick problem solving when issues arise, coordinate with internal team.

QUALIFICATIONS
•	Degree in Interior Design.
•	3+ years of experience in Restaurant, Hospitality, or Retail Interior Design and/or Facilities Management.
•	Strong understanding of FF&E specifications and space planning.
•	Ability to incorporate metrics (area, pricing, schedule, etc) into design process
•	Proficient in the following programs: MS Office, Adobe Creative Suite, SKETCHUP, AutoCAD, and Revit.
•	Experience working with outside MEP and/or other design consultants.
•	Current knowledge of relevant professional building codes, health codes and compliance issues.
•	Experience with environmental graphics and signage a plus.
•	Impeccable and concise communication and presentation skills, verbal and written.
•	Experience with Contract/Construction Administration documentation. 
•	Highly resourceful problem solver and quick learner.
•	Demonstrated ability to consistently meet deadlines.
•	Strong time management skills and experience managing multiple projects simultaneously.
•	Reliable, focused, and detail-oriented with ability to thrive in a fast-moving business environment.
•	Self-directed with a high level of initiative, works well on a team and excellent at follow-through.

If you are interested in becoming part of a nationally expanding concept, with significant growth opportunities, we look forward to reviewing your resume.  Please click the link to apply.  No placement agencies or recruiters will be considered; please do not contact the above mentioned location.





    ",Salary + Benefits,full-time
https://denver.craigslist.org/egr/d/denver-kitchen-equipment-designer/6781880936.html,Kitchen Equipment Designer,Stapleton Brand Services,"
        



KITCHEN EQUIPMENT DESIGNER
‪Kitchen Equipment Designer responsibilities include working closely with our culinary, design and development teams to manage all phases of our projects from schematic design through construction and project closeout. To succeed in this role, you should have excellent time management, strong organizational, and communication skills, as you'll collaborate with external and internal teams to deliver results on deadlines.  The Kitchen Equipment Designer has the primary responsibility of assisting in the development and monitoring of project scope including planning, coordination directly with our operations team, budgeting and scheduling.  This position will also work with the design team in the development of design documents. ‬ ‬‬‬‬‬‬‬‬‬

About Us:
Punch Bowl Social innovates and leads a modern authentic approach to the ""eat-ertainment"" category by effectively combining a diner-inspired scratch-kitchen, craft beverage program, and entertainment in a highly curated design-forward environment. In addition to our passion for providing exceptional food & drink, we are committed to personalized customer service and have developed a team of extraordinary brand ambassadors to lead our tribe of professionals. 


QUALIFICATIONS
•	A Bachelor's degree in a related field from an accredited university; or equivalent work experience, or combination of work and education may be substituted.
•	Proven work experience as a Kitchen Equipment Designer or similar role, for at least 5 years.
•	Must possess the ability to read construction drawings.
•	Proficient with MS Office suite [Excel, Word and Outlook].
•	Proficient with Revit and AutoCAD software.
•	Solid organizational skills, including multitasking and time-management.
•	Strong teamwork skills.

ESSENTIAL DUTIES AND RESPONSIBILITIES
•	Create equipment layout designs for the commercial kitchens of existing and upcoming Punch Bowl Social locations.
•	Develop, monitor, and adjust project schedules.
•	Review scope of work and agreements with consulter in alignment with project objectives.
•	Meet consistency with Punch Bowl Social operations team and work with equipment supplier.
•	Collaborate with appropriate staff to meet goals and objectives of project.
•	Coordinate drawings to reflect any health department or local jurisdiction requirements.
•	Assist the design department in Construction Drawing documentation.

If you are interested in becoming part of a nationally expanding concept, with significant growth opportunities, we look forward to reviewing your resume.  Please click the link above to apply.  No placement agencies or recruiters will be considered; please do not contact the above mentioned location.









    ",Salary+Benefits,full-time
https://denver.craigslist.org/egr/d/denver-engineering-technician-staff/6777872555.html,Engineering Technician / Staff Geologist / Staff Engineer,"Lakewood, CO","
        
WesTest is seeking the right candidate to join our team as an Engineering Technician / Staff Geologist / Staff Engineer

Full Time, Seasonal and Internship positions are available

These positions generally work 40 to 60 hours per week and time and one-half is paid for overtime.
Start dates are available immediately.

About Us
For 20 years, WesTest has led the industry in expertise and service for asphalt, concrete, and soils engineering and materials testing.  WesTest offers services on a variety of projects overseen by agencies including Colorado Department of Transportation, Federal Aviation Administration, Federal Highway Administration, Wyoming Department of Transportation, Local Government, Private, Industrial and more.

Job Titles: Engineering Technician / Staff Geologist / Staff Engineer

Learn The Skills
WesTest follows ASTM, AASHTO, Colorado and Wyoming Procedures.  WesTest tests, engineers, analyzes and evaluates construction materials.  Become technically and mechanically savvy working with machinery and testing equipment.

Have an Impact
WesTest provides services for many producers and contractors from Colorado and Wyoming.  We provide our expertise to directly impact the overall quality of our client's projects. 

Applicant Requirements:
-	Must have a good driving record.
-	Must be able to lift 50 pounds.
-	Must be 18 years of age or older.
-	Must be flexible regarding work hours. Out of town, weekends and nights may be required. 
-	Must pass a pre-employment drug screening and criminal background check.

Location: 
-	These positions are based out of our Lakewood, Colorado or Cheyenne, Wyoming office and feature hands on work in an outdoor construction environment on various projects located throughout Colorado and Wyoming. 

Qualifications:
-	An open-minded positive attitude and a desire to learn.
-	Dependable.

Full Time Employee Benefits:
-	Project Bonuses
-	Per Diem for Travel
-	Paid Extensive Training
-	Paid Company Vehicle, Used for Going to Projects and Commuting
-	Health, Dental, Vision, Life and Disability Insurance
-	120 Hours Paid Time off per Year
-	Flexible Winter Work Schedule
-	Minimum 6 Paid Holidays a Year
-	401(K) and Profit Sharing
    ",Depends on experience,full-time
https://denver.craigslist.org/egr/d/denver-survey-office-technician/6778058006.html,Survey Office Technician,Denver Tech Center,"
        
HCL Engineering & Surveying, LLC is a full service engineering and surveying firm specializing in transportation, land development, structural engineering - both horizontal and vertical design and a full range of surveying services.   

HCL has an opportunity for full time office technician for our survey department. Must be proficient with Civil 3-D, ALTA surveys and topographical surveys.  LSIT Preferred but not required.  Company offers a great atmosphere with room for advancement. 

Survey CAD Technician duties and responsibilities:
•Prepare ALTA, boundary, improvement, and topographic surveys.
•Prepare as-built surveys and construction plans, subdivision plats, legal descriptions and exhibits.
•Perform deed research, deed plotting and map checks
•Support Civil Development when needed.

Required Experience - Education and Skills:
•5 years of experience in Land Surveying or related field
•Proficient in AutoCAD Civil 3D.
•Demonstrate a basic understanding and entry-level application of the following technical skills:
•Surveying procedures and practices
•MS Excel, Word, and Outlook
•Civil construction plan reading and interpretation

We offer an extremely competitive wage and benefits package which includes access to a 401(k) with matching employer contributions, health/dental insurance, 3 weeks paid vacation and paid holidays.     

HCL Engineering & Surveying, LLC is located in the Denver Tech Center area just off Orchard Road and I-25, or a 10-15 minute walk from RTD light rail Orchard Station.  

Please reply to ad, be sure to attach your resume.

Thank you

    ",Salary commensurate with experience,full-time
